Date, Open, High, Low, Close, Volume
02/12/21, 37.85, 39.00, 37.80, 38.35, 2847000
02/11/21, 36.65, 38.00, 36.65, 37.80, 3948700
02/10/21, 36.60, 36.85, 36.00, 36.40, 2833100
02/09/21, 36.00, 37.00, 36.00, 36.60, 8129600
02/08/21, 35.75, 36.25, 35.75, 35.95, 2542000
02/05/21, 36.95, 37.00, 35.75, 36.20, 226400
02/04/21, 36.20, 37.20, 36.20, 36.85, 18668801
02/03/21, 35.50, 36.95, 35.50, 36.45, 3181300
02/02/21, 35.50, 35.80, 35.05, 35.55, 10443600
02/01/21, 35.80, 35.85, 34.95, 35.15, 10614000
01/29/21, 36.25, 36.25, 35.50, 35.85, 3596400
01/28/21, 36.50, 36.50, 35.50, 36.20, 4469900
01/27/21, 36.40, 36.50, 36.20, 36.40, 14316900
01/26/21, 36.30, 37.00, 36.15, 36.55, 2089800
01/25/21, 35.50, 36.75, 35.50, 36.45, 10100000
01/22/21, 35.50, 36.00, 35.00, 35.55, 3037000
01/21/21, 35.60, 35.90, 34.95, 35.30, 3976400
01/20/21, 36.25, 36.35, 35.05, 35.85, 4645200
01/19/21, 36.30, 36.50, 36.20, 36.40, 3441900
01/18/21, 36.50, 36.50, 36.00, 36.35, 8334900
01/15/21, 36.60, 36.60, 36.25, 36.55, 13225100
01/14/21, 35.00, 37.00, 35.00, 36.50, 8378100
01/13/21, 35.00, 35.25, 35.00, 35.10, 2770000
01/12/21, 34.50, 35.05, 34.25, 34.90, 7783600
01/11/21, 34.50, 35.00, 34.50, 34.95, 3905300
01/08/21, 35.00, 35.00, 34.75, 35.00, 4857800
01/07/21, 35.00, 35.05, 34.60, 34.95, 2094700
01/06/21, 35.00, 35.05, 34.50, 35.00, 7923000
01/05/21, 34.30, 35.00, 34.10, 34.40, 7743600
01/04/21, 34.00, 34.50, 34.00, 34.25, 3591000
12/31/20, 34.25, 34.50, 34.15, 34.25, 1342600
12/30/20, 34.40, 34.40, 33.95, 34.00, 4020000
12/29/20, 34.00, 34.25, 33.90, 34.05, 898300
12/28/20, 34.00, 34.20, 33.85, 34.10, 1832100
