Date,Mean
05-08-2020,107.8941
04-08-2020,107.8174
03-08-2020,107.7118
30-07-2020,107.7074
29-07-2020,107.7118
28-07-2020,107.7191
27-07-2020,107.7888
24-07-2020,108.02
23-07-2020,108.1288
22-07-2020,107.8797
21-07-2020,107.6209
20-07-2020,107.4329
17-07-2020,107.4582
16-07-2020,107.3494
15-07-2020,107.285
14-07-2020,107.1471
13-07-2020,107.0512
10-07-2020,106.9003
09-07-2020,106.9618
08-07-2020,106.7471
07-07-2020,106.5912
06-07-2020,106.6106
03-07-2020,106.6662
02-07-2020,106.54
01-07-2020,106.5488
30-06-2020,106.5224
29-06-2020,106.4576
26-06-2020,106.51
25-06-2020,106.4029
24-06-2020,106.3694
23-06-2020,106.4194
22-06-2020,106.3265
19-06-2020,106.2882
18-06-2020,106.3206
17-06-2020,106.4853
16-06-2020,106.4912
15-06-2020,106.45
12-06-2020,106.5047
11-06-2020,106.5971
10-06-2020,106.43
09-06-2020,106.2971
08-06-2020,106.14
05-06-2020,106.0871
04-06-2020,106.1235
03-06-2020,106.4488
02-06-2020,106.7982
29-05-2020,106.9435
28-05-2020,107.0265
27-05-2020,107.1088
26-05-2020,107.0076
22-05-2020,106.9694
21-05-2020,106.8894
20-05-2020,106.8
19-05-2020,106.69
18-05-2020,107.0353
15-05-2020,106.8112
14-05-2020,106.5947
13-05-2020,106.5276
12-05-2020,106.1385
11-05-2020,106.0268
08-05-2020,106.0088
07-05-2020,106.0768
06-05-2020,106.3091
05-05-2020,106.6091
04-05-2020,107.265
30-04-2020,107.2915
29-04-2020,107.275
28-04-2020,107.2382
27-04-2020,106.9265
24-04-2020,107.2444
23-04-2020,107.1412
22-04-2020,106.9941
21-04-2020,106.8824
20-04-2020,106.7941
17-04-2020,106.2029
16-04-2020,105.9088
15-04-2020,105.9034
14-04-2020,105.9088
09-04-2020,106.0035
08-04-2020,106.4741
07-04-2020,106.1765
06-04-2020,105.905
03-04-2020,105.6653
02-04-2020,105.1882
01-04-2020,105.1106
31-03-2020,104.6926
30-03-2020,104.4474
27-03-2020,105.1147
26-03-2020,106.1971
25-03-2020,106.4206
24-03-2020,106.5441
23-03-2020,106.0118
20-03-2020,105.0971
19-03-2020,104.2235
18-03-2020,103.7206
17-03-2020,103.3853
16-03-2020,102.9
13-03-2020,102.4235
12-03-2020,102.4735
11-03-2020,102.7015
10-03-2020,102.8982
09-03-2020,102.6735
06-03-2020,102.5529
05-03-2020,102.8912
04-03-2020,102.3765
03-03-2020,101.3735
02-03-2020,101.1647
28-02-2020,100.9824
27-02-2020,100.9265
26-02-2020,101.13
25-02-2020,101.15
24-02-2020,101.2324
21-02-2020,101.2853
20-02-2020,101.2482
19-02-2020,101.0824
18-02-2020,100.8853
17-02-2020,100.6153
14-02-2020,100.5794
13-02-2020,100.6924
12-02-2020,100.6265
10-02-2020,100.5794
07-02-2020,100.4471
06-02-2020,100.3853
05-02-2020,100.3512
04-02-2020,100.4618
03-02-2020,100.4412
31-01-2020,100.585
30-01-2020,100.7471
29-01-2020,100.8735
28-01-2020,100.8715
27-01-2020,100.8765
27-01-2020,100.8765
24-01-2020,100.8553
23-01-2020,100.8735
22-01-2020,101.0324
21-01-2020,101.0971
20-01-2020,100.9471
17-01-2020,100.9735
16-01-2020,101.3835
15-01-2020,101.3912
14-01-2020,101.4912
13-01-2020,101.3412
10-01-2020,101.5929
09-01-2020,101.4688
08-01-2020,101.2588
07-01-2020,101.0618
06-01-2020,100.9806
03-01-2020,100.9588
02-01-2020,101.3429
31-12-2019,101.3365
30-12-2019,101.1588
27-12-2019,100.7676
24-12-2019,100.6324
23-12-2019,100.7
20-12-2019,100.7118
19-12-2019,100.9006
18-12-2019,101.5424
17-12-2019,101.6224
16-12-2019,101.6788
13-12-2019,101.6676
11-12-2019,101.4953
10-12-2019,101.4159
09-12-2019,101.6691
06-12-2019,101.7529
05-12-2019,101.9576
04-12-2019,102.3
03-12-2019,102.6147
02-12-2019,102.5959
29-11-2019,102.8065
28-11-2019,102.5424
27-11-2019,102.4253
26-11-2019,102.0206
25-11-2019,101.55
22-11-2019,101.3618
21-11-2019,101.4765
20-11-2019,101.7971
19-11-2019,101.9294
18-11-2019,101.9676
15-11-2019,102.0765
14-11-2019,102.0971
13-11-2019,102.4206
12-11-2019,102.4106
11-11-2019,102.4971
08-11-2019,102.8088
07-11-2019,102.9529
06-11-2019,103.1871
05-11-2019,103.2682
04-11-2019,103.2653
01-11-2019,103.2765
31-10-2019,103.2059
30-10-2019,103.4072
29-10-2019,103.5567
28-10-2019,103.5222
25-10-2019,103.2528
24-10-2019,103.5111
23-10-2019,103.5756
22-10-2019,103.7278
18-10-2019,103.7
17-10-2019,103.7139
16-10-2019,103.7
15-10-2019,103.79
14-10-2019,103.7678
11-10-2019,103.7567
09-10-2019,103.7806
08-10-2019,103.7956
07-10-2019,103.8406
04-10-2019,103.8144
03-10-2019,103.8617
02-10-2019,103.8639
01-10-2019,103.8572
30-09-2019,103.8856
27-09-2019,103.8167
26-09-2019,103.8617
25-09-2019,103.8283
24-09-2019,103.8639
23-09-2019,103.8319
20-09-2019,103.8319
19-09-2019,103.9133
18-09-2019,103.86
17-09-2019,103.7944
16-09-2019,103.7739
13-09-2019,103.7889
12-09-2019,103.7778
11-09-2019,103.665
10-09-2019,103.7283
09-09-2019,103.825
06-09-2019,103.8864
05-09-2019,103.8211
04-09-2019,103.825
03-09-2019,103.6375
02-09-2019,103.5872
30-08-2019,103.55
29-08-2019,103.4839
28-08-2019,103.4483
27-08-2019,103.3228
26-08-2019,103.1789
23-08-2019,103.0583
22-08-2019,102.9611
21-08-2019,102.9694
20-08-2019,103.2919
19-08-2019,103.3817
16-08-2019,103.3322
15-08-2019,103.2633
14-08-2019,103.2533
13-08-2019,103.0667
09-08-2019,103.3733
08-08-2019,103.4375
07-08-2019,103.2722
06-08-2019,103.2014
05-08-2019,103.0056
02-08-2019,103.2322
01-08-2019,104.1722
31-07-2019,104.2098
30-07-2019,104.0733
29-07-2019,103.8194
26-07-2019,103.8
25-07-2019,104.025
24-07-2019,103.7628
23-07-2019,103.6139
22-07-2019,103.2167
19-07-2019,103.1028
18-07-2019,103.0575
17-07-2019,103.0522
16-07-2019,103.0278
15-07-2019,102.9542
12-07-2019,102.9217
11-07-2019,102.9222
10-07-2019,102.7494
09-07-2019,102.6917
08-07-2019,102.6083
05-07-2019,102.6306
04-07-2019,102.2944
03-07-2019,103.0011
02-07-2019,102.7194
01-07-2019,102.3606
28-06-2019,102.2983
27-06-2019,102.17
26-06-2019,102.1917
25-06-2019,101.9144
24-06-2019,101.8778
21-06-2019,101.8722
20-06-2019,101.9028
19-06-2019,102.0222
18-06-2019,102.0033
17-06-2019,101.8167
14-06-2019,101.5478
13-06-2019,101.3883
12-06-2019,101.3833
11-06-2019,101.2767
10-06-2019,101.205
07-06-2019,101.3
06-06-2019,101.35
04-06-2019,101.2806
03-06-2019,101.2872
31-05-2019,101.3556
30-05-2019,101.4011
29-05-2019,101.2778
28-05-2019,101.2378
27-05-2019,101.24
24-05-2019,101.2261
23-05-2019,101.2167
22-05-2019,101.1694
21-05-2019,101.1117
20-05-2019,101.1111
17-05-2019,101.1194
16-05-2019,101.1069
15-05-2019,101.0944
14-05-2019,101.0692
13-05-2019,101.0736
10-05-2019,101.1344
09-05-2019,101.1856
08-05-2019,101.0472
07-05-2019,100.9417
06-05-2019,101.0978
03-05-2019,100.9
02-05-2019,101.1972
30-04-2019,101.3803
29-04-2019,101.49
26-04-2019,101.5122
25-04-2019,101.5478
24-04-2019,101.5361
23-04-2019,101.3353
18-04-2019,101.2583
17-04-2019,101.0556
